Stance,Q1_B1,Q1_B2,Q1_B3,Q9,Age,Gender,PostalCode
Strongly Opposed,"a casino would alter the down town culture in a significantly negative way, in my opinion.",i believe the long term negative consequences on citizens' health would outway the gains made by job availability.,,T,35-44,Female,M4L
Neutral or Mixed Feelings,Encourages an addiction to gambling,Possible negative effects on low-income Torontonians,Placement - traffic congestion,F,45-54,Female,M4K
Strongly Opposed,"It is a hidden form of taxation, usually on the poor",It creates public problems such as chronic gambling,It has been demonstrated over and over again to be a false solution to fiscal challenges,T,45-54,Male,M4K
Strongly Opposed,the sick culture that surrounds professional gambling (having a 'champions' across the street from me is bad enough),"potential rise in theft / robbery / assault, etc to feed gambling addictions",potential rise in prostitution as an even more lucrative option to earn money (as if success on Bay St. wasn't enough),T,Prefer not to disclose,Prefer not to disclose,
Neutral or Mixed Feelings,Gambling - not being the best form of development!,Economic benefits for Toronto via taxes and hosting fees,Communities most affected by problem gambling - immigrants and lower income,F,25-34,Female,M6R
Strongly in Favour,"casinos and all they entail - entertainment, tourists, conventions, jobs - are all good for Toronto","people always have and will gamble, and it's legal in Ontario, so Toronto should benefit rather than elsewhere","Toronto is an eclectic mix of cultures, values, interests - casinos are just one more that belong in the mix",F,65 or older,Male,M4J
Strongly in Favour,Further development of tourist attractions,Brings needed tax income,Easier access to Ontario Casinos for Toronto residents,F,25-34,Male,m4j
Strongly Opposed,,,,T,45-54,Female,M4K
Somewhat in Favour,new tourist attraction,jobs,new entertainment option,F,55-64,Male,
Strongly Opposed,Casinos kill stores and restaurants,Casinos encourage problem gambling,Casinos are a tax on the poor,T,55-64,Male,M4K
Strongly in Favour,section 37 money for public transportation,city of toronto profits for Gardiner repair/replacement/tunnel,,F,55-64,Male,m5z
Strongly Opposed,casinos - we already have race tracks and casinos - and we don't need more gambling,I have seen gambling ruin several members of my friends and family - even people who were educated and should have known better feel into those traps,casinos don't really benefit anyone - except for casino owners - don't even bother to try and sell me on the tourist draw - they will not bring the right kind of tourist to toronto and they will not benefit the people who live here,T,35-44,Female,M5B
Strongly Opposed,Other ways we can get revenue,changes the dynamic of the city,can not handle extra traffic,F,35-44,Female,M4K
Somewhat Opposed,Do not generally like the atmosphere a casino brings with it,Have concerns about gambling-generated revenue and it's ethics,Do not believe it is the image of Toronto I would like to see,T,25-34,Female,M5G
Strongly Opposed,It promotes the wrong image of Toronto,It increases addiction issues,It takes money away from small businesses,T,35-44,Female,M4M
Strongly in Favour,"Many people gamble, and do so at Niagara, or Rama. If they gamble instead in Toronto, then Toronto would gain some benefit instead of the profits going to another locale.","People worry about bringing casinos to Toronto. We already have slots at Woodbine, Bingo, lotteries, the internet, and off track betting. Banning a full fledged casino is closing the barn door after all the horses have left.",More casinos in Southern Ontario increases the competition and that usually works in the favour of the consumer.,F,65 or older,Male,M2R
Strongly Opposed,Social problems in area of casino,Addiction to gambling,Brings wrong sort of people to community,T,55-64,Male,M4M
Strongly Opposed,Casinos do not benefit the community as a whole.,Casinos are a very cynical way for a municipality to make money.,Casinos do not reflect the community in which they exist.,T,45-54,Male,M4M
Strongly Opposed,People who have little money will gamble it away,Morally wrong,,T,45-54,Female,M4j
Strongly Opposed,Negative financial impact on the other entertainment venues in the city.,"Numerous spill-over social problems - prostitution, organized crime, gambling addictions, etc.","Encourages negative social & health values - greed, sloth, etc.  Better to spend your time and save your money doing a healthier activity - spending time with family, sports, etc.",T,45-54,Male,M6R
Strongly Opposed,Not convinced the promised economic benefits will be realized,The major players appear to be U.S. based -- don't like the idea of millions of dollars being vacuumed out of our economy,Casinos create low-wage jobs. We should be looking for high-value employers,T,55-64,Male,m4k
Somewhat Opposed,The problems of compulsice / addictive gamblers.,,,T,65 or older,Male,M1J
Strongly Opposed,Doubts there would be any financial benefit to the city,Creates more problem gamblers and hardships on their families,It would probably siphon business away from established local  busiinesses in the downtown or wherever it would be built,T,,,M4K
Strongly Opposed,"will damage the prospects of other casions, especially Rama - why bother going there when there is one in town",creates too many problems - I know personally people who have lost their homes and savings,will take away from the entertainment and businesses already in the area,T,45-54,Female,M4J
Strongly Opposed,Economic benefits to city coffers have been overstated.,The development itself will suck the economic life out of surrounding business.,"More crime, traffic congestion and parking woes to say nothing of the social havoc it will wreak.",T,55-64,Male,M4L
Strongly Opposed,Casinos are sick unhealthy places that encourage addiction,Casinos also encourage unhealthy communities. Although i might agree that it's  a sick world that's no reason to make it worse.,,T,45-54,Female,M$C
Strongly Opposed,Casinos are a tax on the wrong people.,Gambling is a dangerous activity for people who have addictive propensities.,"Our Government has become addicted to this form of income and should be using progressive taxing to redistribute wealth, NOT taking the money from those who can least afford to lose money in Casinos.",T,65 or older,Male,M5A
Strongly Opposed,"I support the Arts in Toronto and believe the arts, when supported give Toronto its unique identity and make it an interesting destination for tourism and for attracting investment in the city. Gambling will not create a unique city which is why people travel to a place. Gambling will create yet another strip-mall city.",Crime as well as desperate people preying on and being prayed on could also  become another unwelcome result.,,T,55-64,Prefer not to disclose,M4K
Neutral or Mixed Feelings,To let the City know that I am concerned about Gambling Addiction,To let the City know that I am for the Casino but only if it's not in a residential area,To let the City know that I am concerned about all the hands that will be coming out wanting the revenue and for them to divi up the money evenly.,F,45-54,Female,M5A
Strongly Opposed,Do not want a casino in Toronto,Concerns about health - enabling of gambling addiction,Fail to see how casino will benefit Toronto (and this is despite any financial return),T,25-34,Female,M4M
Strongly Opposed,"Gambling can become addictive, can destroy indiviual's lives and families.",Wherever it would be situated it would change the neighborhood.,Traffic concerns.,T,45-54,Female,M4E
Strongly Opposed,"Within our big city it makes it easier for those addicted to overspend, go into debt =family tensions, even suicide","I suspect that the Casino keeps people inside, $ for casino but less for existing businesses.","Its location downtown further clogs access to waterfront, increases traffic, parking space.",T,65 or older,Female,M4M
